Cities,name,address,description,score,url,bonus,latitude,longitude
Collioure,Hôtel La Casa Pairal,"Impasse Des Palmiers, 66190 Collioure, France","Situé à 250 mètres de la plage et du port de Collioure, l’Hôtel La Casa Pairal propose un jardin fleuri exotique et une piscine extérieure chauffée. Il occupe un bâtiment catalan du XIXe siècle au cœur du vieux quartier de Collioure.Les chambres à la décoration traditionnelle de l’Hôtel La Casa Pairal sont climatisées. Elles possèdent toutes une télévision par satellite à écran plat, un minibar et une connexion Wi-Fi gratuite. Certaines offrent une vue sur la ville, la cour de l’hôtel et sa fontaine, ou la place du village.A l’Hôtel La Casa Pairal, un petit-déjeuner buffet pourra vous être servi tous les jours dans la salle prévue à cet effet ou dans votre chambre sur demande. Vous pourrez également prendre un verre dans le jardin de l’hôtel.La réception est ouverte 24h/24. Des journaux gratuits et un coffre-fort sont également disponibles.La gare de Collioure se trouve à 500 mètres. Vous séjournerez à 23 km de la frontière espagnole. C'est le quartier préféré des voyageurs visitant Collioure, selon les commentaires clients indépendants.Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,7 pour un séjour à deux.L'établissement Hôtel La Casa Pairal accueille des clients Booking.com depuis le 7 juil. 2005.En voir plus",8.8,https://www.booking.com/hotel/fr/hotelcasapairal.fr.html,    1 piscine    Parking    Animaux domestiques admis    Connexion Wi-Fi gratuite    Chambres familiales,42.52616733,3.08235571
Collioure,Residence Les Balcons de Collioure - maeva Home,"28 Route de Port-Vendres, 66190 Collioure, France","Situé à Collioure, à moins de 6 minutes à pied du château royal de Collioure, l'établissement Maeva Particuliers Residence Les Balcons de Collioure propose des hébergements avec un coin salon et une télévision.Les logements comprennent une kitchenette entièrement équipée avec un coin repas, un micro-ondes, un réfrigérateur, des plaques de cuisson et une machine à café.Le Maeva Particuliers Residence Les Balcons de Collioure propose une piscine extérieure ouverte en saison. Les environs sont propices à la randonnée.Enfin, l'aéroport de Perpignan-Rivesaltes, le plus proche, est placé à 30 km. C'est le quartier préféré des voyageurs visitant Collioure, selon les commentaires clients indépendants.Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,1 pour un séjour à deux.L'établissement Residence Les Balcons de Collioure - maeva Home accueille des clients Booking.com depuis le 29 juin 2017.Chaîne hôtelière/marque:Maeva HomeEn voir plus",7.2,https://www.booking.com/hotel/fr/maeva-particuliers-residence-les-balcons-de-collioure.fr.html,    1 piscine    Parking    Animaux domestiques admis    Chambres familiales    Chambres non-fumeurs,42.52507267,3.09015687
Collioure,Hôtel Princes de Catalogne,"Rue Des Palmiers, 66190 Collioure, France","Installé dans la ville pittoresque de Collioure, l’Hôtel Princes de Catalogne vous accueille sur une place tranquille, à 400 mètres de la plage. L'hôtel a été rénové début 2021 et présente un style contemporain.Toutes les chambres de l'Hôtel Princes de Catalogne sont climatisées et offrent une vue sur les montagnes, le Fort Miradou ou une rue calme. Les hébergements sont équipés d'une télévision et d'une connexion Wi-Fi gratuite.Le personnel de l’Hôtel Princes se fera un plaisir de vous aider à organiser des excursions, des visites guidées ou d’autres activités telles que la thalassothérapie et l’escalade. C'est le quartier préféré des voyageurs visitant Collioure, selon les commentaires clients indépendants.Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,1 pour un séjour à deux.L'établissement Hôtel Princes de Catalogne accueille des clients Booking.com depuis le 24 févr. 2009.En voir plus",7.9,https://www.booking.com/hotel/fr/princes-de-catalogne.fr.html,    Parking    Animaux domestiques admis    Connexion Wi-Fi gratuite    Chambres familiales    Chambres non-fumeurs    Équipements pour les personnes handicapées,42.52591431,3.0826816
Collioure,Appartement de charme à 50m de la plage de sable,"4 Rue Nungesser et Coli, 66190 Collioure, France","L'Appartement de charme à 50m de la plage de sable est situé à Collioure, à 100 mètres de la plage de Port Avall et à 300 mètres de celle de Boutigue, dans une région propice à la pêche. Offrant une vue sur la ville et la mer, cet appartement dispose également d'une connexion Wi-Fi gratuite.Cet appartement comprend une chambre, un salon, une cuisine entièrement équipée avec un réfrigérateur et une machine à café ainsi qu'une salle de bains pourvue d'une douche et d'articles de toilette gratuits. Pour plus de commodité, l'établissement peut fournir des serviettes et du linge de lit moyennant des frais supplémentaires.Vous séjournerez à proximité des plages de Balette, de Boramar et du château royal de Collioure. L'aéroport de Perpignan-Rivesaltes, le plus proche, est implanté à 42 km. C'est le quartier préféré des voyageurs visitant Collioure, selon les commentaires clients indépendants.Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,4 pour un séjour à deux.L'établissement Appartement de charme à 50m de la plage de sable accueille des clients Booking.com depuis le 22 août 2019.En voir plus",8.5,https://www.booking.com/hotel/fr/appartement-de-charme-a-50m-de-la-plage-de-sable.fr.html,    Parking    Animaux domestiques admis    Connexion Wi-Fi gratuite    Front de mer    Chambres non-fumeurs,42.5238821,3.0844023
Collioure,Au coeur de Collioure,"6, Rue Rière, 66190 Collioure, France","Situé à Collioure, à 50 mètres de la plage de Boramar et à 200 mètres de celle du Nord, l'établissement Au coeur de Collioure propose une connexion Wi-Fi gratuite et la climatisation. Installé dans un bâtiment datant du XIXe siècle, l'appartement se trouve dans une région où vous pourrez pratiquer des activités telles que la randonnée, la plongée avec tuba et la pêche.Cet appartement comprend une chambre, un salon, une télévision à écran plat, une cuisine équipée avec un coin repas ainsi qu'une salle de bains pourvue d'une douche et d'un lave-linge. Les serviettes et le linge de lit sont fournis.Vous séjournerez à 200 mètres de la plage de Saint-Vincent et à 100 mètres du château royal de Collioure. L'aéroport de Perpignan-Rivesaltes, le plus proche, est implanté à 36 km. C'est le quartier préféré des voyageurs visitant Collioure, selon les commentaires clients indépendants.Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,8 pour un séjour à deux.L'établissement Au coeur de Collioure accueille des clients Booking.com depuis le 14 mai 2019.Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap.En voir plus",9.3,https://www.booking.com/hotel/fr/au-coeur-de-collioure.fr.html,    Animaux domestiques admis    Connexion Wi-Fi gratuite    Front de mer    Chambres non-fumeurs,42.5273935,3.0847579
Collioure,COLLIOURE tres bel appart a 150 metres des plages avec jardin prive et parking dans residence securisee,"112 bat N ""la cobla"" immeuble D1 Résidence Val Saint-Elme, 66190 Collioure, France","Situé à Collioure, à seulement 200 mètres de la plage de Boutigue, le COLLIOURE tres bel appart a 150 mètres des plages avec jardin Le prive et parking dans residence securisee propose des hébergements avec un casino, une terrasse et une connexion Wi-Fi gratuite. Situé à 200 mètres de la plage de Port Avall, il possède un jardin et un parking privé gratuit.Cet appartement comprend 2 chambres, une salle de bains, du linge de lit, des serviettes, une télévision à écran plat, un coin repas, une cuisine entièrement équipée et une terrasse avec vue sur le jardin.Vous pourrez pêcher à proximité.Vous séjournerez à 600 mètres de la plage de la Balette et à 700 mètres du château royal de Collioure. L'aéroport le plus proche, celui de Perpignan-Rivesaltes, est situé à 37 km. Un service de navette aéroport peut être assuré moyennant des frais supplémentaires. C'est le quartier préféré des voyageurs visitant Collioure, selon les commentaires clients indépendants.Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,8 pour un séjour à deux.L'établissement COLLIOURE tres bel appart a 150 metres des plages avec jardin prive et parking dans residence securisee accueille des clients Booking.com depuis le 14 avr. 2019.Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap.En voir plus",8.7,https://www.booking.com/hotel/fr/collioure-tres-bel-appart-a-150-metres-des-belles-plages-avec-jardin.fr.html,    Parking gratuit    Connexion Wi-Fi gratuite    Chambres non-fumeurs    Navette aéroport    Terrasse,42.5224086,3.0869409
Collioure,Hôtel la Bona Casa,"20 Rue de la Republique, 66190 Collioure, France","L'Hôtel la Bona Casa est situé dans le centre historique de Collioure, à seulement 300 mètres du château royal et de la plage. Il propose une connexion Wi-Fi gratuite et une terrasse ombragée.Les chambres offrent une vue sur la rue ou la terrasse. Certains logements sont dotés d'une terrasse privée. Les hébergements comportent une télévision à écran plat et une salle de bains privative pourvue d'articles de toilette gratuits. L'établissement est entièrement non-fumeurs.Un petit-déjeuner continental est préparé chaque matin. Vous trouverez des boutiques et des restaurants à moins de 200 mètres. Sur place, vous pourrez vous détendre dans le salon de thé de mars à octobre, ou faire du shopping au magasin de vêtements.Vous séjournerez à 3 km de Port-Vendres et à 6 km d'Argelès-sur-Mer. L'établissement est à 30 minutes de route du centre de Perpignan et de la frontière espagnole, également accessible en train. C'est le quartier préféré des voyageurs visitant Collioure, selon les commentaires clients indépendants.Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,5 pour un séjour à deux.L'établissement Hôtel la Bona Casa accueille des clients Booking.com depuis le 25 févr. 2013.En voir plus",8.5,https://www.booking.com/hotel/fr/la-bona-casa.fr.html,    Connexion Wi-Fi gratuite    Chambres non-fumeurs    Navette aéroport    Bar,42.52547153,3.0826987
Collioure,Studio Centre Plage parking gratuit,"1er Étage 13 Rue Coma Cheric, 66190 Collioure, France","Vous pouvez bénéficier d'une réduction Genius dans l'établissement Studio Centre Plage parking gratuit ! Connectez-vous pour économiser.Le Studio Centre Plage parking gratuit est situé à Collioure, à 200 mètres de la plage de Boutigue, à 300 mètres de celle de Port Avall et de celle de Balette. Vous bénéficierez gratuitement d'un parking privé et d'une connexion Wi-Fi.Cet appartement comprend une chambre, un salon, une cuisine entièrement équipée avec un réfrigérateur et une machine à café ainsi qu'une salle de bains pourvue d'une douche et d'articles de toilette gratuits. Les serviettes et le linge de lit sont fournis.Vous séjournerez à 800 mètres de la plage de Boramar et à 700 mètres du château royal de Collioure. L'aéroport le plus proche, celui de Perpignan-Rivesaltes, est situé à 42 km. C'est le quartier préféré des voyageurs visitant Collioure, selon les commentaires clients indépendants.Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,8 pour un séjour à deux.L'établissement Studio Centre Plage parking gratuit accueille des clients Booking.com depuis le 3 févr. 2017.En voir plus",9.2,https://www.booking.com/hotel/fr/studio-centre-plage-collioure.fr.html,    Parking gratuit    Connexion Wi-Fi gratuite    Chambres familiales    Chambres non-fumeurs    Enregistrement en ligne disponible,42.52298768,3.08732966
Collioure,Magnifique appartement proche centre Collioure,"16 Chemin de Consolacio, 66190 Collioure, France","Offrant une vue sur le jardin, le Magnifique appartement proche centre Collioure propose un hébergement avec une terrasse et un balcon, à environ 800 mètres de la plage de Port Avall. Cet appartement se trouve à 34 km du stade Gilbert Brutus et à 1,9 km du casino de Collioure.Cet appartement climatisé comprend 2 chambres, une télévision à écran plat ainsi qu'une cuisine équipée d'un réfrigérateur et d'un four.Vous séjournerez à proximité des plages de Boutigue, de Boramar et du château royal de Collioure. L'aéroport de Perpignan-Rivesaltes, le plus proche, est implanté à 35 km. Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,6 pour un séjour à deux.L'établissement Magnifique appartement proche centre Collioure accueille des clients Booking.com depuis le 28 févr. 2022.En voir plus",8.0,https://www.booking.com/hotel/fr/magnifique-appartement-proche-centre-collioure.fr.html,    Animaux domestiques admis    Terrasse,42.52182,3.0773047
Collioure,appart central et son parking privatif gratuit,"32 bis impasse du jardin baretge, 66190 Collioure, France","Vous pouvez bénéficier d'une réduction Genius dans l'établissement appart central et son parking privatif gratuit ! Connectez-vous pour économiser.Situé à Collioure, à 300 mètres de la plage de Port Avall, l'appart central et son parking privatif gratuit propose un hébergement avec une terrasse, une connexion Wi-Fi gratuite et une réception ouverte 24h/24. Vous pourrez pratiquer diverses activités dans les environs, telles que la pêche et la randonnée.Cet appartement climatisé comprend une chambre, un salon, une cuisine entièrement équipée avec un réfrigérateur et une machine à café ainsi qu'une salle de bains avec un bidet et une douche. Les serviettes et le linge de lit sont fournis.Vous séjournerez à proximité des plages de Boramar, de Boutigue et de Balette. L'aéroport de Perpignan-Rivesaltes, le plus proche, est implanté à 42 km. C'est le quartier préféré des voyageurs visitant Collioure, selon les commentaires clients indépendants.Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,4 pour un séjour à deux.L'établissement appart central et son parking privatif gratuit accueille des clients Booking.com depuis le 26 mai 2017.En voir plus",8.9,https://www.booking.com/hotel/fr/appart-central-collioure.fr.html,    Parking gratuit    Connexion Wi-Fi gratuite    Front de mer    Chambres familiales    Chambres non-fumeurs    Terrasse,42.52488242,3.08187893
Collioure,Clémentine,"7 Rue Antonio Machado, 66190 Collioure, France","Offrant une vue sur le jardin, le Clémentine est un hébergement situé à Collioure, à 400 mètres de la plage de Port Avall et à 600 mètres de celle de Boutigue. Situé à 400 mètres de la plage de Boramar, il possède un jardin et un parking privé gratuit.Cet appartement climatisé comprend 2 chambres, un salon, une cuisine entièrement équipée avec un réfrigérateur et une machine à café ainsi qu'une salle de bains pourvue d'une douche et d'un sèche-cheveux. Il dispose également d'une télévision à écran plat.Vous séjournerez à moins de 1 km de la plage de Balette et à 3 minutes à pied du château royal de Collioure. L'aéroport de Perpignan-Rivesaltes, le plus proche, est à 42 km. C'est le quartier préféré des voyageurs visitant Collioure, selon les commentaires clients indépendants.L'établissement Clémentine accueille des clients Booking.com depuis le 14 juin 2022.En voir plus",7.5,https://www.booking.com/hotel/fr/clementine-collioure.fr.html,    Parking gratuit,42.52558237,3.08207897
Collioure,Appartement Les Roches Bleues - 5RB14,"Route De Port Vendres, 66190 Collioure, France","Offrant une vue sur la mer, L'Appartement Les Roches Bleues - 5RB14 propose un hébergement avec un balcon et une machine à café, à environ 200 mètres de la plage de Reguers. Situé à 200 mètres de la plage d'Oli, il dispose d'une terrasse et d'un parking privé gratuit.Cet appartement comprend 2 chambres, une télévision à écran plat, un lave-linge et une salle de bains pourvue d'une douche. Sa cuisine est équipée d'un four et d'un réfrigérateur. Pour plus de commodité, l'établissement peut fournir des serviettes et du linge de lit moyennant des frais supplémentaires.Vous séjournerez à moins de 1 km de la plage de Balette et à 1,9 km du château royal de Collioure. L'aéroport de Perpignan-Rivesaltes, le plus proche, est implanté à 43 km. L'établissement Appartement Les Roches Bleues - 5RB14 accueille des clients Booking.com depuis le 22 janv. 2018.En voir plus",9.0,https://www.booking.com/hotel/fr/appartement-les-roches-bleues-collioure.fr.html,    Parking gratuit    Front de mer    Chambres familiales    Chambres non-fumeurs    Terrasse,42.523431,3.097688
